;внутреннего водного транспорта;кввт;12022218;
;((российской федерации)|(рф)) об административных правонарушениях;коап;12025267;
;торгового мореплавания;ктм;12015482;
арбитражн\w+ процессуальн\w+;;апк;12027526;
бюджетн\w+;;бк;12012604;
водн\w+;;вк;12047594;
воздушн\w+;;вк;10100300;
гражданск\w+;;гк;10064072;
градостроительн\w+;;гк;12038258;
гражданск\w+ процессуальн\w+;;гпк;12028809;
жилищн\w+;;жк;12038291;
земельн\w+;;зк;12024624;
лесн\w+;;лк;12050845;
налогов\w+;;нк;10800200;
семейн\w+;;ск;10005807;
таможенн\w+;;тк;12031077;75,77,78,79,80,81,82,83,84,85,86
трудов\w+;;тк;12025268;
уголовно-исполнительн\w+;;уик;1206500;
уголовно-процессуальн\w+;;упк;12025178;
уголовн\w+;;ук;10008000;
